Id,Name,Address,Lat,Lng,Value
1,Pizza Hut Maxi Shopping Jundiaí,Av. Antônio Frederico Ozanan‚ 6000 - Vila Rio Branco – Jundiaí – SP,-23.2022683,-46.8619063,
2,Pizza Hut Shopping Piracicaba,Av. Limeira‚ 722 (Loja P69 E 71) - Vila Areião – Piracicaba – SP,-22.704007,-47.6523391,
3,Pizza Hut Shopping Iguatemi Esplanada,Av. Izoraida Marques Peres‚ 401 - Alto Do Campolim – Sorocaba – SP,-23.5340326,-47.4651139,
4,Pizza Hut São Carlos,Rua Marechal Deodoro‚ 2082 - Vila Monteiro (Gleba I) - São Carlos – SP,-22.015147,-47.8929183,
5,Pizza Hut Rio Claro,Rua 9‚ 411 - Cidade Jardim - Rio Claro – SP,-22.4247705,-47.5626949,
6,Pizza Hut Shopping ABC,Av. Pereira Barreto‚ 42 - Vila Gilda - Santo André – SP,-23.6677917,-46.5361385,
7,Pizza Hut Estadão,Av. Professor Celestino Bourrol‚ 62 - Bairro Do Limão - São Paulo – SP,-23.513018,-46.6750394,
8,Pizza Hut Center Norte,Tra. Casalbuono (Av. Moyses Roysen‚ S/N)‚ 120 - Vila Guilherme - São Paulo – SP,-23.5165885,-46.620658,
9,Pizza Hut Shopping SP Market,Av. Das Nações Unidas‚ 22540 - Vila Almeida - São Paulo – SP,-23.679458,-46.6988191,
10,Pizza Hut Shopping Ibirapuera,Av. Ibirapuera‚ 3103 – Indianópolis - São Paulo – SP,-23.6096031,-46.6701731,
11,Pizza Hut Shopping Paulista,Rua Treze De Maio‚ 1947 - Bela Vista - São Paulo – SP,-23.5714665,-46.6460958,
12,Pizza Hut Shopping Eldorado,Av. Rebouças‚ 3970 – Pinheiros - São Paulo – SP,-23.5731432,-46.6981997,
13,Pizza Hut Bandeirantes,Av. Dos Bandeirantes‚ 3335 - Planalto Paulista - São Paulo – SP,-23.6150448,-46.6700523,
14,Pizza Hut Shopping Interlagos,Av. Interlagos‚ 2255 - Santo Amaro - São Paulo – SP,-23.6738509,-46.6800874,
15,Pizza Hut Tatuapé,Rua Itapura‚ 1616 – Tatuapé - São Paulo – SP,-23.5527032,-46.5673814,
16,Pizza Hut Pátio Limeira Shopping,Rua Carlos Gomes‚ 1321 – Centro – Limeira – SP,-22.5709612,-47.4110047,
17,Pizza Hut Morumbi,Av. Guilherme Dumont Villares‚ 2282 – Morumbi - São Paulo – SP,-23.6250897,-46.7397186,
18,Pizza Hut Mais Shopping Largo 13,R. Amador Bueno‚ 229 - Santo Amaro - São Paulo – SP,-23.6530237,-46.7131107,
19,Pizza Hut Shopping West Plaza,Av. Antártica‚ 408 - Bloco B‚ Piso 3 - Água Branca - São Paulo – SP,-23.5247615,-46.6738995,
